iter	Passed	Remaining
0	56	56704
1	57	28521
2	57	19129
3	57	14427
4	58	11606
5	58	9753
6	59	8410
7	59	7399
8	60	6608
9	60	5977
10	60	5458
11	61	5025
12	61	4660
13	61	4352
14	62	4086
15	62	3848
16	62	3639
17	63	3455
18	63	3287
19	63	3134
20	64	2997
21	64	2873
22	65	2762
23	65	2659
24	65	2562
25	66	2477
26	66	2396
27	66	2324
28	67	2254
29	67	2188
30	68	2126
31	68	2070
32	68	2021
33	69	1973
34	69	1927
35	70	1883
36	70	1840
37	71	1799
38	71	1758
39	71	1720
40	71	1684
41	72	1648
42	72	1618
43	73	1587
44	73	1557
45	73	1529
46	74	1503
47	74	1476
48	74	1451
49	75	1427
50	75	1404
51	75	1382
52	76	1362
53	76	1341
54	76	1321
55	77	1303
56	77	1284
57	77	1266
58	78	1248
59	78	1232
60	79	1216
61	79	1199
62	79	1184
63	79	1168
64	80	1153
65	80	1139
66	80	1125
67	81	1112
68	81	1099
69	81	1087
70	82	1075
71	82	1064
72	82	1052
73	83	1042
74	83	1031
75	83	1020
76	84	1009
77	84	999
78	84	988
79	85	978
80	85	968
81	85	959
82	85	947
83	86	938
84	86	930
85	86	922
86	87	913
87	87	904
88	87	896
89	87	887
90	88	879
91	88	871
92	88	864
93	88	857
94	89	849
95	89	842
96	89	835
97	89	828
98	90	821
99	90	814
100	90	808
101	91	802
102	91	795
103	91	790
104	92	785
105	92	780
106	92	774
107	93	775
108	94	769
109	94	764
110	94	758
111	95	753
112	95	749
113	95	744
114	96	738
115	96	733
116	96	728
117	96	723
118	96	718
119	97	713
120	97	709
121	97	703
122	98	700
123	98	695
124	98	691
125	98	686
126	99	681
127	99	677
128	99	673
129	100	669
130	100	665
131	100	661
132	100	657
133	101	654
134	101	650
135	101	647
136	102	643
137	102	640
138	102	636
139	103	633
140	103	630
141	103	626
142	104	623
143	104	620
144	104	616
145	104	613
146	105	610
147	105	606
148	105	603
149	106	604
150	106	601
151	107	598
152	107	595
153	107	592
154	108	589
155	108	586
156	108	583
157	108	580
158	109	577
159	109	575
160	109	571
161	110	569
162	110	566
163	110	563
164	110	561
165	111	558
166	111	555
167	111	553
168	112	551
169	112	548
170	112	546
171	112	543
172	113	541
173	113	539
174	113	537
175	114	534
176	114	532
177	114	530
178	115	528
179	115	526
180	115	523
181	116	521
182	116	519
183	116	517
184	117	515
185	117	513
186	117	511
187	117	509
188	118	507
189	118	505
190	118	503
191	119	501
192	119	499
193	119	497
194	120	495
195	120	493
196	120	491
197	120	489
198	121	487
199	121	486
200	121	484
201	122	482
202	122	481
203	122	479
204	123	477
205	123	475
206	123	473
207	124	472
208	124	470
209	124	468
210	124	467
211	125	465
212	125	463
213	125	462
214	126	460
215	126	458
216	126	457
217	127	455
218	127	454
219	127	452
220	127	451
221	128	449
222	128	447
223	128	446
224	129	444
225	129	443
226	129	442
227	130	440
228	130	439
229	130	437
230	131	436
231	131	435
232	131	433
233	131	431
234	132	430
235	132	429
236	132	427
237	133	426
238	133	424
239	133	423
240	133	421
241	134	420
242	134	419
243	134	417
244	135	416
245	135	414
246	135	413
247	135	412
248	136	410
249	136	409
250	136	408
251	137	406
252	137	405
253	137	404
254	137	402
255	138	401
256	138	400
257	138	399
258	139	398
259	139	397
260	139	395
261	140	394
262	140	393
263	140	392
264	140	391
265	141	389
266	141	388
267	141	387
268	142	386
269	142	385
270	142	384
271	143	383
272	143	382
273	143	381
274	144	380
275	144	379
276	144	378
277	145	377
278	145	376
279	145	375
280	146	374
281	146	373
282	146	371
283	147	370
284	147	369
285	147	368
286	147	367
287	148	366
288	148	365
289	148	364
290	149	363
291	149	362
292	149	361
293	150	360
294	150	359
295	150	358
296	150	357
297	151	356
298	151	355
299	151	354
300	152	353
301	152	352
302	152	351
303	152	350
304	153	348
305	153	347
306	153	346
307	153	345
308	154	344
309	154	343
310	154	342
311	155	341
312	155	341
313	155	340
314	156	339
315	156	338
316	156	337
317	156	336
318	157	335
319	157	334
320	157	333
321	158	332
322	158	332
323	158	331
324	159	330
325	159	329
326	159	329
327	160	328
328	160	327
329	160	326
330	161	325
331	162	326
332	162	325
333	162	324
334	163	323
335	163	322
336	163	321
337	163	320
338	164	320
339	164	319
340	164	318
341	165	317
342	165	316
343	165	316
344	166	315
345	166	314
346	166	313
347	166	312
348	167	311
349	167	310
350	167	310
351	167	309
352	168	308
353	168	307
354	168	307
355	169	306
356	169	305
357	169	304
358	170	303
359	170	303
360	170	302
361	171	301
362	171	300
363	171	300
364	172	299
365	172	298
366	172	297
367	173	297
368	173	296
369	173	295
370	174	295
371	174	294
372	174	293
373	174	292
374	175	292
375	175	291
376	175	290
377	175	289
378	176	288
379	176	288
380	176	287
381	177	286
382	177	285
383	177	285
384	178	284
385	178	283
386	178	283
387	178	282
388	179	281
389	179	280
390	179	280
391	180	279
392	180	278
393	180	278
394	181	277
395	181	276
396	181	275
397	181	275
398	182	274
399	182	273
400	182	272
401	182	272
402	183	271
403	183	270
404	183	270
405	184	269
406	184	268
407	184	267
408	184	267
409	185	266
410	185	266
411	186	265
412	186	264
413	186	264
414	186	263
415	187	262
416	187	262
417	187	261
418	188	260
419	188	260
420	188	259
421	188	258
422	189	258
423	189	257
424	189	256
425	190	256
426	190	255
427	190	254
428	190	254
429	191	253
430	191	252
431	191	252
432	192	251
433	192	250
434	192	250
435	192	249
436	193	249
437	193	248
438	193	247
439	194	247
440	194	246
441	194	245
442	195	245
443	195	244
444	195	243
445	195	243
446	196	242
447	196	242
448	196	241
449	197	240
450	197	240
451	197	239
452	197	239
453	198	238
454	198	237
455	198	237
456	199	236
457	199	236
458	199	235
459	199	234
460	200	234
461	200	233
462	200	233
463	201	232
464	201	231
465	201	231
466	202	230
467	202	230
468	202	229
469	203	229
470	203	228
471	203	227
472	203	227
473	204	226
474	204	226
475	204	225
476	205	225
477	205	224
478	205	224
479	206	223
480	206	222
481	206	222
482	207	221
483	207	221
484	207	220
485	208	220
486	208	219
487	208	219
488	209	218
489	209	217
490	209	217
491	209	216
492	210	216
493	210	215
494	210	214
495	210	214
496	211	213
497	211	213
498	211	212
499	212	212
500	212	211
501	212	210
502	212	210
503	213	209
504	213	209
505	213	208
506	214	208
507	214	207
508	214	207
509	215	206
510	215	206
511	215	205
512	216	205
513	216	204
514	216	204
515	216	203
516	217	202
517	217	202
518	218	202
519	218	202
520	219	201
521	219	201
522	220	200
523	220	200
524	220	199
525	220	199
526	221	198
527	221	198
528	221	197
529	222	197
530	222	196
531	222	195
532	223	195
533	223	194
534	223	194
535	224	194
536	224	193
537	224	193
538	225	192
539	225	192
540	225	191
541	226	191
542	226	190
543	226	190
544	227	189
545	227	189
546	227	188
547	228	188
548	228	187
549	228	187
550	229	186
551	229	186
552	229	185
553	229	184
554	230	184
555	230	183
556	230	183
557	230	182
558	231	182
559	231	181
560	231	181
561	232	180
562	232	180
563	232	179
564	232	179
565	233	178
566	233	178
567	233	177
568	234	177
569	234	176
570	234	176
571	235	175
572	235	175
573	235	174
574	236	174
575	236	173
576	236	173
577	236	172
578	237	172
579	237	171
580	237	171
581	237	170
582	238	170
583	238	169
584	238	169
585	239	168
586	239	168
587	239	167
588	239	167
589	240	166
590	240	166
591	240	166
592	241	165
593	241	165
594	241	164
595	242	164
596	242	163
597	242	163
598	243	162
599	243	162
600	243	161
601	244	161
602	244	160
603	244	160
604	244	159
605	245	159
606	245	159
607	245	158
608	246	157
609	246	157
610	246	157
611	246	156
612	247	156
613	247	155
614	247	155
615	247	154
616	248	154
617	248	153
618	248	153
619	249	152
620	249	152
621	249	151
622	250	151
623	250	150
624	250	150
625	250	149
626	251	149
627	251	148
628	251	148
629	251	147
630	252	147
631	253	147
632	253	146
633	253	146
634	253	145
635	254	145
636	254	145
637	254	144
638	255	144
639	255	143
640	255	143
641	256	142
642	256	142
643	256	141
644	256	141
645	257	140
646	257	140
647	257	140
648	258	139
649	258	139
650	258	138
651	259	138
652	259	137
653	259	137
654	260	136
655	260	136
656	260	136
657	260	135
658	261	135
659	261	134
660	261	134
661	261	133
662	262	133
663	262	132
664	262	132
665	263	131
666	263	131
667	263	131
668	264	130
669	264	130
670	264	129
671	265	129
672	265	128
673	265	128
674	265	128
675	266	127
676	266	127
677	266	126
678	266	126
679	267	125
680	267	125
681	267	124
682	268	124
683	268	123
684	268	123
685	268	123
686	269	122
687	269	122
688	269	121
689	270	121
690	270	120
691	270	120
692	271	120
693	271	119
694	271	119
695	271	118
696	272	118
697	272	117
698	272	117
699	273	117
700	273	116
701	273	116
702	273	115
703	274	115
704	274	114
705	274	114
706	275	113
707	275	113
708	275	113
709	276	112
710	276	112
711	276	111
712	277	111
713	277	111
714	277	110
715	277	110
716	278	109
717	278	109
718	278	108
719	279	108
720	279	108
721	279	107
722	279	107
723	280	106
724	280	106
725	280	106
726	281	105
727	281	105
728	281	104
729	282	104
730	282	103
731	282	103
732	282	103
733	283	102
734	283	102
735	283	101
736	284	101
737	284	100
738	284	100
739	284	100
740	285	99
741	285	99
742	285	98
743	286	98
744	286	97
745	286	97
746	286	97
747	287	96
748	287	96
749	287	95
750	288	95
751	288	95
752	288	94
753	289	94
754	289	93
755	289	93
756	290	93
757	290	92
758	290	92
759	291	91
760	291	91
761	291	91
762	291	90
763	292	90
764	292	89
765	292	89
766	293	89
767	293	88
768	293	88
769	293	87
770	294	87
771	294	86
772	294	86
773	294	86
774	295	85
775	295	85
776	295	84
777	296	84
778	296	84
779	296	83
780	296	83
781	297	82
782	297	82
783	297	82
784	298	81
785	298	81
786	298	80
787	299	80
788	299	80
789	299	79
790	299	79
791	300	78
792	300	78
793	300	78
794	300	77
795	301	77
796	301	76
797	301	76
798	302	76
799	302	75
800	302	75
801	303	74
802	303	74
803	303	74
804	304	73
805	304	73
806	304	72
807	305	72
808	305	72
809	305	71
810	305	71
811	306	70
812	306	70
813	306	70
814	307	69
815	307	69
816	307	68
817	308	68
818	308	68
819	308	67
820	308	67
821	309	66
822	309	66
823	309	66
824	309	65
825	310	65
826	310	64
827	310	64
828	311	64
829	311	63
830	311	63
831	312	63
832	312	62
833	312	62
834	313	61
835	313	61
836	313	61
837	313	60
838	314	60
839	314	59
840	314	59
841	315	59
842	315	58
843	315	58
844	315	57
845	316	57
846	316	57
847	316	56
848	317	56
849	317	56
850	317	55
851	318	55
852	318	54
853	318	54
854	319	54
855	319	53
856	319	53
857	320	52
858	320	52
859	320	52
860	321	51
861	321	51
862	321	51
863	321	50
864	322	50
865	322	49
866	322	49
867	323	49
868	323	48
869	323	48
870	323	47
871	324	47
872	324	47
873	324	46
874	325	46
875	325	46
876	325	45
877	326	45
878	326	44
879	326	44
880	327	44
881	327	43
882	327	43
883	327	43
884	328	42
885	328	42
886	328	41
887	329	41
